Customer_ID,cluster,recency_days,tenure_days,freq_log,sales_log,profit_signed_log,margin_pct,aov,units_per_order,avg_discount,med_discount,discount_std,discount_p90,pct_lines_discounted,lead_time_mean,return_order_rate,avg_products_returned,proddiv_log,subcatdiv_log,category_diversity,top_category_share,monthly_salary,age,marital_status [1:married/ 0:Single],credit score
AA-10315,0,184,1185,1.791759469228055,8.629006443319577,-5.877379695979652,-0.06365649349255527,1118.104,6.4,0.06000000000000001,0.06000000000000001,0.10298573010888745,0.2,0.4166666666666667,4.6,0.0,0.0,2.4849066497880004,2.302585092994046,3,0.9126635804898292,6349.0,32,1,500
AA-10375,1,19,1329,2.302585092994046,7.164426445399795,5.905371112316834,0.28336770876883294,143.51333333333335,5.888888888888889,0.11851851851851852,0.1111111111111111,0.09551338658818387,0.2,0.3157894736842105,3.6666666666666665,0.0,0.0,2.772588722239781,2.0794415416798357,3,0.7098837119276568,5374.0,26,0,630
AA-10480,1,259,1076,1.6094379124341003,7.490815235020091,6.079538151401047,0.24340937117427866,447.628,9.0,0.05,0.05,0.05773502691896258,0.0,0.08333333333333333,4.25,0.0,0.0,2.5649493574615367,2.0794415416798357,3,0.3853311231647708,9611.0,44,1,780
AA-10645,1,55,1231,1.9459101490553132,8.823491894029903,7.100085828274969,0.17833629806771967,1131.8233333333333,14.5,0.06180555555555555,0.049999999999999996,0.115,0.2400000000000002,0.2,4.0,0.16666666666666666,0.16666666666666666,2.9444389791664403,2.302585092994046,3,0.752611273255249,7025.0,43,1,450
AB-10015,1,415,996,1.3862943611198906,7.473459920738054,5.569175456134451,0.14844551988761645,586.5626666666666,8.0,0.08888888888888889,0.06666666666666667,0.09341987329938278,0.2,0.2727272727272727,3.0,0.0,0.0,1.9459101490553132,1.791759469228055,3,0.44402416792067684,3331.0,28,1,490
AB-10060,1,54,779,2.1972245773362196,9.428307026252726,8.195479986479752,0.2914104404728281,1554.3069999999998,10.25,0.043333333333333335,0.025,0.08593378488473195,0.2,0.23076923076923078,4.625,0.0,0.0,2.8903717578961645,2.1972245773362196,3,0.7734651198251052,8511.0,41,1,590
AB-10105,1,41,1064,2.3978952727983707,9.557943553425513,8.70550059721659,0.3680719888760343,1639.6311,8.2,0.18250000000000002,0.16,0.2296815691090728,0.57,0.6666666666666666,3.9,0.1,0.4,3.044522437723423,2.302585092994046,3,0.7682774497263438,7199.0,47,1,340
AB-10150,1,41,1354,1.791759469228055,6.874932455614634,5.751491737401793,0.3244610069203795,193.342,7.4,0.10800000000000001,0.08,0.1775250729197189,0.2,0.5,3.2,0.0,0.0,2.5649493574615367,1.9459101490553132,3,0.591625203008141,7838.0,41,1,500
AB-10165,1,10,1129,2.3978952727983707,7.196193565432024,5.678987948539489,0.21873840320037918,133.3342,6.3,0.13666666666666666,0.13,0.10173926082384546,0.2,0.6842105263157895,3.8,0.0,0.0,2.70805020110221,2.0794415416798357,3,0.6657961723248798,6957.0,50,0,550
AB-10255,1,166,1090,2.302585092994046,6.860110059113756,5.648194709055213,0.2968892523874717,105.83022222222222,4.555555555555555,0.10000000000000002,0.10000000000000002,0.1279880946844369,0.2,0.4,4.222222222222222,0.1111111111111111,0.1111111111111111,2.70805020110221,2.3978952727983707,3,0.5599681670432306,8601.0,35,0,510
